Q1;Q2;Q3;Q4;Q16;Q17;Q14;Q5;Q28;Q6;Q7;Q9;Q15;Q10;Q12;Q18;Q18_4_TEXT;Q24_1;Q24_2;Q24_3;Q24_4;Q26_1;Q26_2;Q26_3;Q26_4;Q21;Q22_1;Q22_2;Q22_3;Q22_4;Q22_5;Q22_6;Q22_7;Q22_8;Q22_9;Q22_10;Q22_11;Q22_12;Q22_13;Q23_1;Q23_2;Q23_3;Q23_4;Q23_5;Q23_6;Q23_7;Q23_8;Q23_9;Q23_10;Q23_11;Q23_12;Q23_13;Q23_14;Q23_15;Q23_16;Q23_17;Q23_18;Q23_19;Q23_20;Q27_1;Q27_2;Q27_3;Q27_4;Q27_5;Q27_6;Q27_7;Q27_8;Q27_9;Q27_10;Q29_1;Q29_2;Q29_3;Q29_4;Q29_5;Q29_6;Q29_7;Q29_8;Q29_9;Q29_10;Q29_11;Q29_12;Q29_13;Q29_14;Q29_15;Q29_16;Q29_17;Q29_18;Q29_19;Q29_20;Q29_21;Q29_22;Q29_23;Q29_24;Q29_25;Q29_26;Q29_27;Q29_28;Q29_29;Q29_30;Q29_31;Q29_32;Q29_33;Q29_34;Q29_35;Q29_36;Q29_37;Q29_38;Q29_39;Q29_40;Q29_41;Q29_42;Q29_43;Q29_44;Q29_45;Q29_46;Q29_47;Q29_48;Q29_49;Q29_50;Q29_51;Q29_52;Q29_53;Q29_54;Q29_55;Q29_56;Q29_57;Q29_58;Q29_59;Q29_60
CA;Male;56;Spain;;;Balearic islands;Western Europe;Mallorcan,Catalan;Camp Redó;University studies or equivalent;Full-time employment;;Between 35,200 and 59,999 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan;Both languages;Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;Catalan;95;76;91;90;95;82;25;14;100;100;89;26;100;100;8;0;0;59;84;0;13;0;0;0;0;100;90;100;64;1;1;0;0;13;1;0;15;100;100;2;100;0;0;0;82;58;76;0;100;100;0;0;0;0;100;19;0;0;100;83
ES-ES;Female;71;Spain;;;Balearic islands;Western Europe;Spanish;Bons Aires;University studies or equivalent;Retired;;Between 20,200 and 35,199 EUR;Centre;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);N/A;Catalan only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);N/A;Spanish only (100%);Catalan only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);N/A;Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;50;75;51;75;50;95;50;50;50;50;36;66;36;100;12;11;100;8;72;70;8;31;9;31;11;30;86;35;100;9;11;8;8;50;50;6;71;100;100;78;5;100;8;98;6;100;100;100;100;22;23;6;4;100;25;9;8;5;7;96
CA;Male;26;Spain;;;Balearic islands;Western Europe;Mallorcan,Catalan countries;Son Armadans;University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);N/A;More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Others;More Spanish than Catalan (75%);N/A;Catalan and Spanish (50%);Catalan and Spanish (50%);More Catalan than Spanish (75%);N/A;More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Others;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;100;75;100;100;100;75;33;14;100;88;100;13;100;91;100;0;100;80;100;0;71;0;20;0;6;100;0;100;90;0;0;0;10;0;0;45;64;100;65;0;100;42;0;81;75;5;100;100;54;100;0;0;25;89;100;100;0;0;100;100
ES-ES;Female;56;Spain;;;Balearic islands;Western Europe;Balearic;Camp Redó;University studies or equivalent;Full-time employment;;I prefer not to say;Centre;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);More Spanish than Catalan (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Spanish only (100%);Catalan;Both languages;Catalan;Both languages;Both languages;Catalan;Catalan;Catalan;Both languages;Both languages;100;100;100;100;100;75;3;3;100;100;61;48;99;100;46;7;100;22;51;0;24;9;9;11;13;100;52;100;100;7;5;1;0;13;15;100;100;100;100;2;100;26;0;0;0;0;49;53;100;52;14;3;3;3;100;100;8;6;75;100
ES-ES;Female;27;Spain;;;Balearic islands;Western Europe,South America;Mallorcan,Spanish;Pere Garau;University studies or equivalent;Full-time employment;;Between 12,450 and 20,199 EUR;Left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;2;Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);N/A;Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);N/A;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Spanish;Both languages;Both languages;100;100;90;90;50;100;10;30;80;80;50;89;50;90;10;0;100;5;95;20;0;0;0;0;0;50;0;95;96;0;0;0;0;61;61;0;50;91;100;2;60;60;0;0;0;60;95;100;100;0;0;0;0;100;80;81;0;0;90;100
ES-ES;Male;32;Spain;;;Castile and Leon;Western Europe;Spanish;Camp Redó;Secondary studies or equivalent;Unemployed;;Between 12,450 and 20,199 EUR;Center-Left;Spanish;;With difficulty;With difficulty;With difficulty;With difficulty;Well;Well;Well;Well;2;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);N/A;Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Spanish;Both languages;Both languages;80;100;70;100;69;100;50;50;80;100;10;100;80;100;30;0;100;0;100;50;1;29;30;48;49;50;50;90;90;4;4;5;4;100;100;5;90;90;100;4;90;100;3;0;0;0;0;0;80;50;50;0;0;0;100;0;0;0;80;80
CA;Female;57;Spain;;;Canary Islands;Western Europe;Mallorcan;Pere Garau;Secondary studies or equivalent;Full-time employment;;Between 12,450 and 20,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);N/A;N/A;More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);N/A;More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;100;6;100;5;100;2;0;0;100;100;100;0;100;100;100;0;100;100;100;0;90;0;0;0;0;100;3;100;3;3;3;0;60;3;0;100;100;100;100;3;100;0;0;87;0;0;100;100;100;100;0;0;1;0;100;100;0;0;100;100
ES-ES;Male;56;Spain;;;Balearic islands;Western Europe;Palmesan,Balearic,Spanish;Amanecer;Professional Training;Full-time employment;;Between 35,200 and 59,999 EUR;Left;Catalan;;Well;Well;Well;With difficulty;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Catalan only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Catalan;Catalan;Both languages;Both languages;76;50;100;50;100;50;50;57;100;100;100;50;100;100;50;6;1;100;100;75;51;3;2;4;4;75;4;100;75;6;4;0;4;8;6;4;100;100;90;50;75;51;4;76;6;75;70;80;90;50;36;6;4;5;100;4;6;6;5;100
ES-ES;Female;59;Spain;;;Extremadura;Western Europe;Spanish,European;Son Ferriol;University studies or equivalent;Full-time employment;;I prefer not to say;Center-Right;Spanish;;Well;With difficulty;Well;With difficulty;Well;Well;Well;Well;2;More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);N/A;More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);N/A;Others;Others;Others;Spanish only (100%);Spanish only (100%);Others;Others;Others;Others;Others;Others;Others;Others;Others;Spanish only (100%);Spanish only (100%);Others;N/A;N/A;Others;N/A;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;5;100;4;3;2;100;5;100;38;100;0;2;96;1;99;1;3;1;3;0;2;2;4;0;0;27;100;4;0;100;100;4;100;30;100;3;3;3;3;5;3;100;3;4;3;3;3;4;0;100;3;3;4;3;3;42
CA;Female;49;Spain;;;Balearic islands;Western Europe;Mallorcan,Catalan countries;Bons Aires;University studies or equivalent;Full-time employment;;Between 60,000 and 299,999 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);N/A;Others;Others;More Catalan than Spanish (75%);More Catalan than Spanish (75%);Others;More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;100;39;100;39;100;72;0;0;100;100;92;0;100;100;100;0;100;100;100;0;100;0;0;0;0;84;0;100;60;0;0;1;0;0;0;100;100;100;87;0;100;0;0;100;0;0;100;0;100;100;0;0;0;0;100;100;0;0;100;100
ES-ES;Male;55;Spain;;;Balearic islands;Western Europe;Spanish;Verge de Lluc;University studies or equivalent;Full-time employment;;Between 60,000 and 299,999 EUR;Right;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan;Both languages;Catalan;Catalan;Catalan;Catalan;Both languages;Both languages;Both languages;Catalan;84;60;80;100;68;40;82;43;91;38;84;43;100;56;100;43;69;68;19;100;48;74;80;18;36;100;27;100;18;18;11;10;8;12;26;10;76;60;25;21;56;77;19;66;80;35;38;99;88;49;30;61;64;49;39;60;42;41;39;69
ES-ES;Male;58;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Spanish;Camp Redó;University studies or equivalent;Full-time employment;;I prefer not to say;Center-Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);N/A;Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);N/A;N/A;Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Catalan and Spanish (50%);N/A;Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);N/A;Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan;Both languages;Both languages;Catalan;Catalan;Catalan;Both languages;Catalan;Both languages;Both languages;100;100;100;100;100;92;25;20;100;100;100;0;100;100;80;0;100;100;100;0;100;0;0;1;0;100;0;100;100;0;2;0;0;0;0;0;0;100;100;0;100;30;0;0;0;0;100;0;100;100;0;1;0;0;100;100;0;0;100;100
ES-ES;Male;18;Spain;;;Balearic islands;Western Europe;Spanish;Amanecer;University studies or equivalent;Student;Public;Between 20,200 and 35,199 EUR;Center-Right;Both;;Well;Well;With difficulty;Well;Well;Well;Well;Well;2;More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan only (100%);N/A;Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);N/A;More Spanish than Catalan (75%);N/A;More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;100;100;89;82;100;100;92;100;90;100;0;0;100;31;62;0;0;0;0;0;0;71;70;85;83;0;0;0;0;100;100;69;70;100;100;70;100;100;0;0;0;0;53;75;100;50;47;0;0;72;100;42;44;24;26;100
ES-ES;Male;51;Spain;;;Community of Madrid;Western Europe;Mallorcan,Spanish,European;Son Ferriol;University studies or equivalent;Full-time employment;;Between 60,000 and 299,999 EUR;Centre;Spanish;;Well;With difficulty;Well;With difficulty;Well;Well;Well;Well;1;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Spanish;Both languages;71;72;64;100;30;100;28;29;56;78;28;100;46;100;0;0;100;28;100;34;44;0;0;51;50;0;0;50;100;1;1;1;1;99;49;1;99;100;100;100;100;100;1;1;49;99;33;100;81;1;1;1;1;71;1;1;1;1;41;17
CA;Female;19;Spain;;;Catalonia;Western Europe;Catalan;Son Ximelis;Secondary studies or equivalent;Student;Semi-Private;Between 20,200 and 35,199 EUR;Center-Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);N/A;Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan;Both languages;Both languages;Both languages;Both languages;Catalan;Catalan;Catalan;Both languages;Both languages;100;48;100;62;100;84;27;26;99;75;100;52;100;100;100;15;31;100;100;12;75;11;6;7;5;100;38;100;100;7;8;6;7;55;57;100;100;100;100;5;100;100;6;9;28;32;100;100;67;100;100;6;6;7;100;100;7;6;80;100
CA;Male;27;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Spanish,European;Bons Aires;University studies or equivalent;Full-time employment;;Between 35,200 and 59,999 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Spanish only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);N/A;More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan only (100%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan;Both languages;Both languages;Both languages;Both languages;Catalan;Catalan;Catalan;Catalan;Both languages;100;100;100;100;100;100;25;10;100;100;90;70;100;100;90;0;100;50;90;0;80;0;0;0;0;100;15;100;100;0;0;0;0;0;0;100;100;100;100;0;100;0;0;60;10;70;10;60;100;100;1;1;1;70;100;65;1;1;100;100
CA;Female;27;Spain;;;Balearic islands;Western Europe;Mallorcan;Bons Aires;University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);More Spanish than Catalan (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);N/A;More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan;Both languages;Both languages;Both languages;Both languages;Catalan;Catalan;Catalan;Catalan;Both languages;100;100;100;100;100;100;50;50;100;100;85;50;100;100;100;0;100;100;100;0;100;0;0;0;0;100;0;100;100;0;0;0;0;0;0;100;100;100;100;0;100;0;0;0;0;0;100;100;100;100;0;0;0;0;100;100;0;0;100;100
ES-ES;Female;33;Spain;;;Balearic islands;Western Europe;Spanish;Son Cladera;University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Center-Left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;2;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Spanish only (100%);N/A;More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);More Catalan than Spanish (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Catalan;Both languages;Both languages;Both languages;Spanish;Both languages;Both languages;Both languages;Spanish;Both languages;10;100;10;100;10;100;100;10;50;100;10;100;5;100;100;0;0;0;100;100;4;100;0;100;0;0;50;10;100;51;0;5;0;26;100;1;70;4;100;4;0;100;6;100;2;100;3;100;4;0;100;100;4;100;0;100;0;100;0;19
ES-ES;Male;35;Spain;;;Balearic islands;Western Europe;Palmesan;El Rafal Nou;University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;Both languages;100;64;100;67;100;69;35;28;72;84;100;7;50;82;72;0;49;48;48;33;91;13;13;13;9;73;14;88;3;0;2;2;3;0;2;2;2;100;98;3;2;2;0;3;80;94;72;80;46;85;3;2;0;38;95;100;3;3;90;100
ES-ES;Female;33;Spain;;;Balearic islands;South America;Palmesan,Mallorcan,Balearic,Spanish,European;Son Serra - La Vileta;Secondary studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Right;Spanish;;Well;Well;Well;Well;Well;Well;With difficulty;Well;1;More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;56;54;30;61;25;71;23;15;42;45;27;86;40;96;77;15;67;39;82;19;50;19;18;10;12;36;76;70;79;4;9;15;6;81;75;11;71;49;65;15;22;39;38;55;35;100;49;21;40;45;100;49;5;37;31;78;16;39;14;48
